Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,170.050003,174.25,169.509995,173.080002,140.864319,9135000
2010-01-05,173.0,176.259995,172.570007,176.139999,143.354752,11659400
2010-01-06,175.380005,175.380005,173.759995,174.259995,141.824707,7381100
2010-01-07,174.320007,178.75,173.949997,177.669998,144.599976,8727400
2010-01-08,176.330002,177.429993,173.949997,174.309998,141.865356,7268100
2010-01-11,175.059998,175.059998,170.520004,171.559998,139.627228,7704900
2010-01-12,170.009995,170.479996,167.029999,167.820007,136.583374,10360100
2010-01-13,168.009995,169.669998,166.119995,169.070007,137.600708,11269500
2010-01-14,168.0,170.720001,167.210007,168.529999,137.161163,10521400
2010-01-15,167.600006,167.800003,164.580002,165.210007,134.459167,10896300
2010-01-19,165.009995,167.399994,163.899994,166.860001,135.802048,7705300
2010-01-20,165.800003,168.179993,164.320007,167.789993,136.558914,8893900
2010-01-21,169.289993,171.0,156.770004,160.869995,130.926941,51738300
2010-01-22,158.690002,159.75,152.25,154.119995,125.433365,30175600
2010-01-25,156.130005,158.300003,154.5,154.979996,126.13327,17877000
2010-01-26,154.910004,156.5,150.699997,150.880005,122.79641,15985900
2010-01-27,150.75,152.929993,148.270004,151.5,123.30101,19899000
2010-01-28,154.229996,155.199997,149.949997,153.289993,124.757851,16160700
2010-01-29,154.440002,154.880005,147.809998,148.720001,121.03849,18502800
2010-02-01,149.820007,155.25,149.210007,153.130005,124.627625,12980800
2010-02-02,153.649994,157.5,153.649994,156.940002,127.728447,17246600
2010-02-03,157.919998,159.940002,157.110001,157.229996,127.964485,16785200
2010-02-04,155.270004,156.059998,150.449997,150.679993,122.633629,18895000
2010-02-05,150.820007,154.460007,148.869995,154.160004,125.46595,18759200
2010-02-08,154.270004,154.600006,150.820007,151.100006,122.975441,10257300
2010-02-09,152.699997,153.529999,149.649994,152.490005,124.106712,14017300
2010-02-10,152.770004,155.350006,151.759995,153.630005,125.034592,10555300
2010-02-11,154.399994,155.320007,152.25,154.050003,125.376457,11163400
2010-02-12,152.369995,154.5,151.139999,153.929993,125.278694,10293200
2010-02-16,155.300003,157.740005,154.600006,157.399994,128.102829,11497100
2010-02-17,158.0,158.190002,155.809998,157.259995,127.988945,10070000
2010-02-18,155.610001,156.589996,154.880005,155.729996,126.743721,10991100
2010-02-19,154.509995,157.0,154.490005,156.179993,127.109901,8693000
2010-02-22,157.199997,157.970001,156.029999,156.710007,127.541283,7375500
2010-02-23,156.809998,160.210007,155.910004,156.699997,127.533134,15696000
2010-02-24,157.339996,159.25,156.869995,158.330002,128.859756,8361500
2010-02-25,156.229996,156.440002,154.320007,156.440002,127.321571,10519900
2010-02-26,156.259995,156.990005,155.259995,156.350006,127.533653,7812700
2010-03-01,156.509995,158.289993,156.169998,156.539993,127.68856,6522800
2010-03-02,157.179993,159.75,156.910004,158.75,129.491302,11986400
2010-03-03,159.039993,159.449997,157.229996,157.720001,128.651123,10006000
2010-03-04,158.25,163.850006,158.110001,163.610001,133.455521,15439500
2010-03-05,165.110001,168.25,165.0,167.179993,136.367584,12226700
2010-03-08,167.880005,170.690002,167.460007,169.839996,138.537277,9344500
2010-03-09,169.220001,172.199997,168.0,168.850006,137.729843,12958700
2010-03-10,170.259995,172.339996,168.869995,171.940002,140.250305,13107200
2010-03-11,171.399994,173.570007,171.100006,173.509995,141.530899,8910600
2010-03-12,175.009995,176.339996,174.0,174.960007,142.713654,10216900
2010-03-15,173.949997,175.199997,170.380005,173.529999,141.547272,13958600
2010-03-16,174.330002,176.419998,173.559998,176.190002,143.716995,11687700
2010-03-17,176.860001,177.880005,175.570007,176.639999,144.084061,10138600
2010-03-18,176.199997,177.75,175.660004,177.449997,144.744751,6883500
2010-03-19,177.899994,178.210007,175.949997,177.899994,145.111786,10896600
2010-03-22,176.210007,176.949997,175.229996,176.160004,143.692474,7320400
2010-03-23,176.25,176.809998,173.289993,174.830002,142.607605,10804800
2010-03-24,173.639999,175.960007,173.639999,174.410004,142.26506,8396100
2010-03-25,175.240005,178.729996,174.779999,174.899994,142.664719,9534300
2010-03-26,175.380005,175.479996,171.910004,172.869995,141.00885,11811500
2010-03-29,173.869995,174.429993,171.639999,174.050003,141.97139,11785600
2010-03-30,174.259995,174.779999,170.699997,171.380005,139.793518,8184600
2010-03-31,170.0,171.660004,169.850006,170.630005,139.181641,8243200
2010-04-01,171.720001,172.0,169.5,170.220001,138.847275,6480600
2010-04-05,170.679993,173.369995,169.770004,173.160004,141.245407,6135000
2010-04-06,172.610001,173.889999,172.149994,172.899994,141.033295,7743600
2010-04-07,172.889999,177.899994,172.809998,176.360001,143.855637,13887200
2010-04-08,176.100006,180.800003,175.279999,179.5,146.416931,10668800
2010-04-09,180.279999,181.0,177.5,179.119995,146.106979,8462000
2010-04-12,179.360001,180.380005,177.839996,177.839996,145.062912,6040800
2010-04-13,177.559998,180.0,177.110001,179.25,146.212997,6466400
2010-04-14,183.910004,185.940002,183.070007,184.919998,150.837997,12556400
2010-04-15,185.539993,185.600006,183.660004,184.270004,150.307724,7838700
2010-04-16,183.619995,186.410004,155.550003,160.699997,131.081924,102043700
2010-04-19,155.600006,163.729996,155.0,163.320007,133.218979,54299200
2010-04-20,166.440002,166.710007,158.0,159.979996,130.494553,42196600
2010-04-21,161.669998,163.139999,157.0,158.929993,129.638077,30371000
2010-04-22,157.929993,162.0,156.289993,159.050003,129.735977,24823000
2010-04-23,160.190002,160.720001,157.0,157.399994,128.390076,14916000
2010-04-26,156.720001,156.990005,151.520004,152.029999,124.009773,30940700
2010-04-27,150.25,156.190002,150.149994,153.039993,124.833702,34516800
2010-04-28,156.660004,157.649994,154.690002,157.009995,128.07193,21226100
2010-04-29,159.550003,161.050003,158.339996,160.240005,130.70668,18464300
2010-04-30,151.899994,152.5,143.300003,145.199997,118.438637,73187900
2010-05-03,147.839996,150.649994,146.539993,149.5,121.946075,28282700
2010-05-04,149.029999,152.350006,147.830002,149.449997,121.90535,30313400
2010-05-05,148.100006,151.220001,147.199997,148.190002,120.877571,18355200
2010-05-06,147.479996,148.630005,139.059998,142.320007,116.089409,22984700
2010-05-07,145.380005,146.550003,141.5,142.990005,116.635925,21268500
2010-05-10,149.089996,149.899994,141.199997,143.830002,117.321152,23098200
2010-05-11,142.399994,145.5,141.550003,141.970001,115.803955,15497900
2010-05-12,144.240005,147.649994,142.279999,147.199997,120.07003,15457000
2010-05-13,148.360001,148.449997,144.419998,144.649994,117.990021,11517900
2010-05-14,143.410004,144.149994,141.899994,143.229996,116.831757,10977400
2010-05-17,143.470001,144.300003,138.529999,142.639999,116.350456,16330100
2010-05-18,143.690002,143.75,136.600006,137.360001,112.043594,18025300
2010-05-19,137.949997,140.130005,136.100006,140.100006,114.278587,18079900
2010-05-20,138.199997,139.490005,135.75,136.100006,111.015839,16279200
2010-05-21,137.080002,143.449997,136.25,140.619995,114.702797,25553400
2010-05-24,142.0,142.949997,136.509995,136.690002,111.497086,16556800
2010-05-25,134.729996,143.190002,134.199997,142.559998,116.285202,21490900
2010-05-26,144.289993,145.800003,139.690002,140.300003,114.441742,17073900
2010-05-27,142.929993,145.050003,141.039993,144.949997,118.530434,12910200
2010-05-28,144.419998,145.800003,143.100006,144.259995,117.966171,10683700
